C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/25/2018,00:00:00,REGULAR,0006736067,0002283184                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/25/2018,04:00:00,REGULAR,0006736087,0002283188                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/25/2018,08:00:00,REGULAR,0006736105,0002283229                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/25/2018,12:00:00,REGULAR,0006736180,0002283314                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/25/2018,16:00:00,REGULAR,0006736349,0002283384                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/25/2018,20:00:00,REGULAR,0006736562,0002283425                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/26/2018,00:00:00,REGULAR,0006736683,0002283460                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/26/2018,04:00:00,REGULAR,0006736696,0002283461                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/26/2018,08:00:00,REGULAR,0006736705,0002283483                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/26/2018,12:00:00,REGULAR,0006736746,0002283524                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/26/2018,16:00:00,REGULAR,0006736873,0002283587                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/26/2018,20:00:00,REGULAR,0006737067,0002283631                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/27/2018,00:00:00,REGULAR,0006737136,0002283656                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/27/2018,04:00:00,REGULAR,0006737146,0002283658                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/27/2018,08:00:00,REGULAR,0006737169,0002283736                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/27/2018,12:00:00,REGULAR,0006737301,0002283965                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/27/2018,16:00:00,REGULAR,0006737553,0002284025                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/27/2018,20:00:00,REGULAR,0006738257,0002284091                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/28/2018,00:00:00,REGULAR,0006738430,0002284121                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/28/2018,04:00:00,REGULAR,0006738442,0002284126                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/28/2018,08:00:00,REGULAR,0006738474,0002284216                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/28/2018,12:00:00,REGULAR,0006738621,0002284402                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/28/2018,16:00:00,REGULAR,0006738886,0002284425                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/28/2018,20:00:00,REGULAR,0006739630,0002284478                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/29/2018,00:00:00,REGULAR,0006739804,0002284508                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/29/2018,04:00:00,REGULAR,0006739812,0002284512                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/29/2018,08:00:00,REGULAR,0006739847,0002284600                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/29/2018,12:00:00,REGULAR,0006739986,0002284838                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/29/2018,16:00:00,REGULAR,0006740257,0002284896                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/29/2018,20:00:00,REGULAR,0006740888,0002284941                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/30/2018,00:00:00,REGULAR,0006741065,0002284964                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/30/2018,04:00:00,REGULAR,0006741082,0002284967                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/30/2018,08:00:00,REGULAR,0006741115,0002285052                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/30/2018,12:00:00,REGULAR,0006741241,0002285273                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/30/2018,16:00:00,REGULAR,0006741533,0002285329                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/30/2018,20:00:00,REGULAR,0006742199,0002285388                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/31/2018,00:00:00,REGULAR,0006742397,0002285424                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/31/2018,04:00:00,REGULAR,0006742410,0002285426                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/31/2018,08:00:00,REGULAR,0006742444,0002285498                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/31/2018,12:00:00,REGULAR,0006742575,0002285689                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/31/2018,16:00:00,REGULAR,0006743014,0002285766                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,08/31/2018,20:00:00,REGULAR,0006743575,0002285816                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/25/2018,00:00:00,REGULAR,0006026776,0001349490                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/25/2018,04:00:00,REGULAR,0006026800,0001349496                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/25/2018,08:00:00,REGULAR,0006026812,0001349510                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/25/2018,12:00:00,REGULAR,0006026893,0001349554                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/25/2018,16:00:00,REGULAR,0006027031,0001349587                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/25/2018,20:00:00,REGULAR,0006027230,0001349619                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/26/2018,00:00:00,REGULAR,0006027340,0001349643                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/26/2018,04:00:00,REGULAR,0006027359,0001349645                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/26/2018,08:00:00,REGULAR,0006027367,0001349655                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/26/2018,12:00:00,REGULAR,0006027414,0001349684                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/26/2018,16:00:00,REGULAR,0006027562,0001349710                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/26/2018,20:00:00,REGULAR,0006027701,0001349746                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/27/2018,00:00:00,REGULAR,0006027773,0001349757                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/27/2018,04:00:00,REGULAR,0006027776,0001349760                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/27/2018,08:00:00,REGULAR,0006027802,0001349810                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/27/2018,12:00:00,REGULAR,0006027928,0001349902                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/27/2018,16:00:00,REGULAR,0006028109,0001349953                                            
