C/A,Unit,Scp,Station,Linename,Division,Date,Time,Desc,Entries,Exits,On_N_Line,Dayofweek,NewCol
A002,R051,02-00-00,59 ST,NQR456W,BMT,2018-08-25,00:00:00,REGULAR,6736067,2283184,True,5,
A002,R051,02-00-00,59 ST,NQR456W,BMT,2018-08-25,04:00:00,REGULAR,6736087,2283188,True,5,
A002,R051,02-00-00,59 ST,NQR456W,BMT,2018-08-25,08:00:00,REGULAR,6736105,2283229,True,5,
A002,R051,02-00-00,59 ST,NQR456W,BMT,2018-08-25,12:00:00,REGULAR,6736180,2283314,True,5,
A002,R051,02-00-00,59 ST,NQR456W,BMT,2018-08-25,16:00:00,REGULAR,6736349,2283384,True,5,
A002,R051,02-00-00,59 ST,NQR456W,BMT,2018-08-25,20:00:00,REGULAR,6736562,2283425,True,5,
A002,R051,02-00-00,59 ST,NQR456W,BMT,2018-08-26,00:00:00,REGULAR,6736683,2283460,True,6,
A002,R051,02-00-00,59 ST,NQR456W,BMT,2018-08-26,04:00:00,REGULAR,6736696,2283461,True,6,
A002,R051,02-00-00,59 ST,NQR456W,BMT,2018-08-26,08:00:00,REGULAR,6736705,2283483,True,6,
A002,R051,02-00-00,59 ST,NQR456W,BMT,2018-08-26,12:00:00,REGULAR,6736746,2283524,True,6,
A002,R051,02-00-00,59 ST,NQR456W,BMT,2018-08-26,16:00:00,REGULAR,6736873,2283587,True,6,
A002,R051,02-00-00,59 ST,NQR456W,BMT,2018-08-26,20:00:00,REGULAR,6737067,2283631,True,6,
A002,R051,02-00-00,59 ST,NQR456W,BMT,2018-08-27,00:00:00,REGULAR,6737136,2283656,True,0,
A002,R051,02-00-00,59 ST,NQR456W,BMT,2018-08-27,04:00:00,REGULAR,6737146,2283658,True,0,
A002,R051,02-00-00,59 ST,NQR456W,BMT,2018-08-27,08:00:00,REGULAR,6737169,2283736,True,0,
A002,R051,02-00-00,59 ST,NQR456W,BMT,2018-08-27,12:00:00,REGULAR,6737301,2283965,True,0,
A002,R051,02-00-00,59 ST,NQR456W,BMT,2018-08-27,16:00:00,REGULAR,6737553,2284025,True,0,
A002,R051,02-00-00,59 ST,NQR456W,BMT,2018-08-27,20:00:00,REGULAR,6738257,2284091,True,0,
A002,R051,02-00-00,59 ST,NQR456W,BMT,2018-08-28,00:00:00,REGULAR,6738430,2284121,True,1,
A002,R051,02-00-00,59 ST,NQR456W,BMT,2018-08-28,04:00:00,REGULAR,6738442,2284126,True,1,
A002,R051,02-00-00,59 ST,NQR456W,BMT,2018-08-28,08:00:00,REGULAR,6738474,2284216,True,1,
A002,R051,02-00-00,59 ST,NQR456W,BMT,2018-08-28,12:00:00,REGULAR,6738621,2284402,True,1,
