Category: All categories

Month,diet: (Worldwide),gym: (Worldwide),finance: (Worldwide)
2004-01,100,31,47
2004-02,77,27,49
2004-03,75,25,47
2004-04,73,24,47
2004-05,75,23,44
2004-06,67,23,45
2004-07,65,25,46
2004-08,59,27,45
2004-09,57,27,46
2004-10,53,24,44
2004-11,52,24,45
2004-12,43,24,41
2005-01,65,33,44
2005-02,58,29,50
2005-03,57,27,46
2005-04,57,25,46
2005-05,61,25,44
2005-06,53,25,44
2005-07,54,25,45
2005-08,52,28,45
2005-09,48,27,46
2005-10,48,26,44
2005-11,45,26,42
2005-12,39,24,38
2006-01,64,34,45
2006-02,52,29,46
2006-03,52,28,49
2006-04,51,26,47
2006-05,50,26,47
2006-06,52,25,44
2006-07,50,27,44
2006-08,51,32,47
2006-09,46,31,47
2006-10,44,28,47
2006-11,44,28,45
2006-12,38,27,41
2007-01,58,36,48
2007-02,50,33,50
2007-03,52,31,49
2007-04,53,31,49
2007-05,50,32,48
2007-06,50,31,48
2007-07,50,31,51
2007-08,45,33,52
2007-09,45,32,52
2007-10,45,29,53
2007-11,41,28,51
2007-12,36,27,43
2008-01,55,36,55
2008-02,46,31,51
2008-03,46,29,51
2008-04,48,29,53
2008-05,45,27,49
2008-06,44,27,50
2008-07,44,28,54
2008-08,44,31,49
2008-09,43,33,63
2008-10,42,30,76
2008-11,41,29,61
2008-12,36,27,53
2009-01,53,36,56
2009-02,48,30,59
2009-03,48,29,62
2009-04,51,29,59
2009-05,49,29,57
2009-06,47,28,57
2009-07,47,29,57
2009-08,49,32,59
2009-09,45,32,60
2009-10,45,28,58
2009-11,43,28,53
2009-12,41,27,48
2010-01,59,36,52
2010-02,51,31,54
2010-03,53,31,58
2010-04,54,30,58
2010-05,53,29,55
2010-06,50,29,53
2010-07,50,30,52
2010-08,48,32,51
2010-09,48,33,53
2010-10,46,30,52
2010-11,44,30,52
2010-12,40,29,46
2011-01,63,40,51
2011-02,54,34,50
2011-03,53,33,53
2011-04,59,32,50
2011-05,60,32,51
2011-06,55,32,48
2011-07,54,32,49
2011-08,54,34,61
2011-09,51,36,53
2011-10,48,34,49
2011-11,51,34,49
2011-12,46,32,43
2012-01,65,44,46
2012-02,58,38,49
2012-03,57,36,50
2012-04,58,35,46
2012-05,55,34,49
2012-06,54,35,45
2012-07,58,37,46
2012-08,55,38,44
2012-09,53,38,48
2012-10,48,35,47
2012-11,46,34,44
2012-12,42,33,40
2013-01,66,45,47
2013-02,60,39,48
2013-03,58,40,47
2013-04,61,38,48
2013-05,56,38,47
2013-06,56,37,45
2013-07,55,37,48
2013-08,54,42,46
2013-09,53,41,48
2013-10,50,39,49
2013-11,46,38,44
2013-12,42,37,40
2014-01,64,48,46
2014-02,54,43,47
2014-03,57,44,47
2014-04,55,41,48
2014-05,52,40,45
2014-06,50,40,44
2014-07,49,40,45
2014-08,46,41,45
2014-09,46,42,50
2014-10,45,40,48
2014-11,43,39,44
2014-12,40,39,43
2015-01,57,50,47
2015-02,50,45,48
2015-03,51,44,47
2015-04,52,43,48
2015-05,48,42,43
2015-06,50,43,46
2015-07,47,44,47
2015-08,46,45,48
2015-09,45,47,50
2015-10,43,42,45
2015-11,41,42,44
2015-12,39,42,40
2016-01,54,54,45
2016-02,48,48,47
2016-03,48,48,45
2016-04,50,46,45
2016-05,50,45,43
2016-06,46,48,48
2016-07,46,58,42
2016-08,46,54,43
2016-09,43,51,45
2016-10,40,45,41
2016-11,39,46,43
2016-12,36,45,40
2017-01,56,58,44
2017-02,58,51,45
2017-03,53,52,46
2017-04,49,49,43
2017-05,49,48,46
2017-06,48,50,43
2017-07,51,54,45
2017-08,47,52,45
2017-09,45,51,47
2017-10,44,49,46
2017-11,43,48,48
2017-12,40,47,51
2018-01,59,61,56
2018-02,56,52,49
2018-03,56,52,50
2018-04,60,51,49
2018-05,58,49,48
2018-06,53,51,46
2018-07,55,52,47
2018-08,52,53,48
2018-09,48,53,46
2018-10,45,47,49
2018-11,45,50,43
